cohortId,task,checksum,timeStamp,comparatorId
7464,runIncidenceRate,54245bb17609b636c3d733e56cf8ecf7,2020-03-28T08:52:18Z,NA
7364,runIncidenceRate,03a681492ac62c76872b645c614fda55,2020-03-28T08:52:18Z,NA
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7374,runCohortOverlap,df4abfcd3d59a6896a47d839090084fe ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7376,runCohortOverlap,a2858c94d28031fd8dcac12121a8fb43 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7377,runCohortOverlap,8902e2bfb1c3a776a151289cb46cae7f ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7381,runCohortOverlap,91bf9b1f1b23e5b8ce95d91358c90b7a ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7382,runCohortOverlap,4866ddaca6fc34709cb22ba179ba71db ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7396,runCohortOverlap,6c817b5690ed843bf21a68861ebf0613 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7398,runCohortOverlap,8710563ff5aa8f599321da088fc586a3 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7399,runCohortOverlap,a82ad01c6e66238b8a3889f46f1499d6 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7400,runCohortOverlap,1bbc74563344a4b47aeb9eedfa6475e6 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7404,runCohortOverlap,dbaea00721ca1036190f8dffb86762c7 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
7464,runCohortOverlap,54245bb17609b636c3d733e56cf8ecf7 ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:46Z,14717
14717,runCohortOverlap,ae3498e0484d2205c4af03e40b77b326 eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
7361,runCohortOverlap,3e79f89c1b6d59013d19b5a0d899453f eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
7362,runCohortOverlap,ac178c8f7f888dd9f2ca5c61c5bdfe90 eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
7364,runCohortOverlap,03a681492ac62c76872b645c614fda55 eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
7367,runCohortOverlap,fe581221c3d08dea4b80399c7ceacd5c eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
7369,runCohortOverlap,c09e26cee3e5d2532156548ee62cf419 eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
7370,runCohortOverlap,f4a873182b5d713b85ebaea9c91d2549 eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:46Z,14867
